@relation training_data

@attribute 'Total Games' numeric
@attribute Wins numeric
@attribute Losses numeric
@attribute 'Winning Pct' numeric
@attribute Possessions numeric
@attribute 'Possessions Per 40 minutes' numeric
@attribute 'Floor Pct' numeric
@attribute Efficiency numeric
@attribute 'Field Goals Made' numeric
@attribute 'Field Goal Attempts' numeric
@attribute 'Field Goal Pct' numeric
@attribute 'Free Throws Made' numeric
@attribute 'Free Throw Attempts' numeric
@attribute 'Free Throw Pct' numeric
@attribute '3-pt Field Goals Made' numeric
@attribute '3-pt Field Goal Attempts' numeric
@attribute '3-pt Field Goal Pct' numeric
@attribute 'Effective Field Goal Pct' numeric
@attribute 'True Shooting Pct' numeric
@attribute 'Free Throw Rate' numeric
@attribute 'Field Goal Point Pct' numeric
@attribute 'Free Throw Point Pct' numeric
@attribute '3-pt Field Goal Point Pct' numeric
@attribute 'Points Per Possessions' numeric
@attribute Points numeric
@attribute 'Points Per Game' numeric
@attribute 'Rebound Pct' numeric
@attribute 'Total Rebounds' numeric
@attribute 'Total Rebounds Per Game' numeric
@attribute 'Offensive Reb Pct' numeric
@attribute 'Offensive Rebounds' numeric
@attribute 'Offensive Rebounds Per Game' numeric
@attribute 'Defensive Reb Pct' numeric
@attribute 'Defensive Rebounds' numeric
@attribute 'Defensive Rebounds Per Game' numeric
@attribute 'Team Rebounds' numeric
@attribute 'Team Rebounds Per Game' numeric
@attribute 'Assist Pct' numeric
@attribute Assists numeric
@attribute 'Assists Per Game' numeric
@attribute 'Assist to Turnover' numeric
@attribute 'Steal Pct' numeric
@attribute Steals numeric
@attribute 'Steals Per Game' numeric
@attribute 'Turnover Pct' numeric
@attribute Turnovers numeric
@attribute 'Turnovers Per Game' numeric
@attribute 'Block Pct' numeric
@attribute Blocks numeric
@attribute 'Blocks Per Game' numeric
@attribute Fouls numeric
@attribute 'Fouls Per Game' numeric
@attribute Disqualifications numeric
@attribute Outcome {L,W}

@data
1,2,-1,6.7,-154,-8.5,-2.8,-6.1,-162,-145,-7,75,96,1.9,-10,24,-3.6,-6.7,-4.5,10.4,-9.9,7.5,2.5,-0.07,-259,-12.3,3.1,11,-0.8,4.1,42,1.2,2.2,-31,-2.1,23,0.7,-5.9,-119,-4.9,-0.31,-0.6,-25,-1.2,1.7,0,-0.6,0.2,-3,-0.2,-22,-1.6,-9,W
0,-1,1,-3.7,-58,-2.1,-0.6,-1.3,-3,23,-0.8,-93,-147,1.5,24,66,0.6,-0.1,-0.9,-11.1,-1.3,-4.8,6,-0.01,-75,-2.8,2.1,70,2.6,-1.5,-14,-0.5,5.6,84,3.1,-16,-0.6,0.6,2,0.1,0.08,-2.8,-54,-2,-1.6,-40,-1.4,2.8,38,1.4,-12,-0.5,12,L
0,-7,7,-26,52,1.9,-5.3,-9.9,-70,17,-5.6,-20,22,-6,36,155,-3.6,-4.3,-4.5,1.1,-8.9,0.7,8.3,-0.1,-124,-4.6,-3.4,-54,-2,-3,2,0.1,-3.7,-56,-2.1,20,0.7,-2.4,-48,-1.8,-0.21,0.8,19,0.7,1.5,37,1.3,-1.9,-29,-1,50,1.9,-9,L
1,2,-1,6.2,185,4.3,2.7,2.7,102,175,2.3,18,53,-2.7,1,19,-0.9,1.6,0.7,-1.5,5.4,-2.1,-3.4,0.03,223,5.8,1.4,80,1.7,1.5,46,1.3,1.3,34,0.4,-15,-0.7,4.4,77,2.4,0.13,2.4,64,2.1,-0.4,33,0.7,1.9,25,0.8,144,4.4,8,L
2,7,-5,22.4,62,-0.1,1.1,9.9,105,-2,7.6,-37,-70,2,67,99,5.9,10,8.3,-5,-1.7,-5.3,6.9,0.1,240,4.1,-1.8,-81,-5,-4.7,-74,-3.3,1,-7,-1.8,-55,-2.2,6.3,91,2.5,0.18,-0.5,-4,-0.5,0.6,24,-0.1,0.1,1,-0.1,39,0,6,W
-1,-12,11,-42,-22,-0.8,-8.1,-18.2,-140,-36,-8.8,-70,-52,-5.2,1,104,-7.8,-8.7,-8.3,-2.5,-6.3,1,5.4,-0.19,-349,-10.3,-5,-97,-2.3,-3.8,2,0.4,-6.1,-99,-2.8,42,1.6,-6,-108,-3.5,-0.42,-1.7,-32,-0.9,3,49,2.2,-5,-71,-2.4,9,1,-5,L
2,-5,7,-22.1,-86,-5.6,-12,-10,-76,-290,3.3,-212,-279,-2,83,189,2.9,7.2,4.8,-9.9,-9.1,-7.2,16.3,-0.1,-281,-15.2,-11.9,-453,-18.8,-19,-263,-10.3,-4.8,-190,-8.6,-44,-1.8,6.5,5,-0.7,-0.19,3.6,62,1.9,5.1,78,1.9,-3.6,-70,-2.7,29,-0.3,6,L
0,5,-5,17.2,147,2.8,5.7,3,133,234,1.6,3,35,-3.8,-60,-121,-3,-1.4,-2,-3.4,14.1,-1.8,-12.3,0.03,209,7.2,4.3,259,8.9,4.9,75,2.6,3.7,184,6.4,11,0.4,-5.3,32,1.1,0.16,-0.3,6,0.2,-3.3,-33,-1.2,2.6,51,1.7,-46,-1.6,-7,W
1,-8,9,-28.3,169,1.2,0.7,-7.6,16,245,-5.8,10,27,-1.6,-25,7,-4.5,-7.8,-7.3,-4.1,3.9,0.4,-4.3,-0.07,17,-1.6,4.9,269,8,6.4,130,4.1,3.5,139,4,26,0.8,-2.9,-10,-0.8,-0.09,-2.3,-32,-1.3,0,39,0.8,3.1,51,1.6,131,3.7,13,L
1,4,-3,12.6,-51,-1.8,-4.4,-3.1,-49,-210,2.9,-29,-29,-1.5,16,39,0.2,4.5,3.8,3.3,-4.1,-0.4,4.4,-0.04,-111,-6.3,0.5,-89,-4.1,-6,-94,-3.6,7,5,-0.6,-21,-0.8,9.6,39,1,-0.1,-1.5,-32,-1.3,5.1,84,2.5,-3.3,-54,-2,-43,-2.2,-6,W
