Total Games,Wins,Losses,Winning Pct,Possessions,Possessions Per 40 minutes,Floor Pct,Efficiency,Field Goals Made,Field Goal Attempts,Field Goal Pct,Free Throws Made,Free Throw Attempts,Free Throw Pct,3-pt Field Goals Made,3-pt Field Goal Attempts,3-pt Field Goal Pct,Effective Field Goal Pct,True Shooting Pct,Free Throw Rate,Field Goal Point Pct,Free Throw Point Pct,3-pt Field Goal Point Pct,Points Per Possessions,Points,Points Per Game,Rebound Pct,Total Rebounds,Total Rebounds Per Game,Offensive Reb Pct,Offensive Rebounds,Offensive Rebounds Per Game,Defensive Reb Pct,Defensive Rebounds,Defensive Rebounds Per Game,Team Rebounds,Team Rebounds Per Game,Assist Pct,Assists,Assists Per Game,Assist to Turnover,Steal Pct,Steals,Steals Per Game,Turnover Pct,Turnovers,Turnovers Per Game,Block Pct,Blocks,Blocks Per Game,Fouls,Fouls Per Game,Disqualifications,Outcome
1.0,-8.0,9.0,-28.3,169.0,1.2,0.7,-7.6,16.0,245.0,-5.8,10.0,27.0,-1.6,-25.0,7.0,-4.5,-7.8,-7.3,-4.1,3.9,0.4,-4.3,-0.07,17.0,-1.6,4.9,269.0,8.0,6.4,130.0,4.1,3.5,139.0,4.0,26.0,0.8,-2.9,-10.0,-0.8,-0.09,-2.3,-32.0,-1.3,0.0,39.0,0.8,3.1,51.0,1.6,131.0,3.7,13.0,L
1.0,4.0,-3.0,12.6,-51.0,-1.8,-4.4,-3.1,-49.0,-210.0,2.9,-29.0,-29.0,-1.5,16.0,39.0,0.2,4.5,3.8,3.3,-4.1,-0.4,4.4,-0.04,-111.0,-6.3,0.5,-89.0,-4.1,-6.0,-94.0,-3.6,7.0,5.0,-0.6,-21.0,-0.8,9.6,39.0,1.0,-0.1,-1.5,-32.0,-1.3,5.1,84.0,2.5,-3.3,-54.0,-2.0,-43.0,-2.2,-6.0,W
-2.0,9.0,-11.0,36.9,12.0,2.9,13.7,17.8,149.0,249.0,2.2,57.0,126.0,-4.7,-12.0,-28.0,-0.3,0.6,-0.2,1.8,7.8,-0.5,-7.3,0.18,343.0,17.5,6.1,230.0,10.5,13.3,165.0,6.7,-1.0,65.0,4.0,-21.0,-0.6,-1.4,70.0,3.4,0.67,5.2,97.0,4.0,-7.5,-135.0,-4.0,5.3,76.0,2.9,-22.0,0.6,-3.0,W
0.0,6.0,-6.0,20.7,-52.0,0.5,-5.8,-1.3,-13.0,-166.0,4.0,-78.0,-161.0,5.0,27.0,9.0,3.9,5.8,5.3,-6.2,-2.3,-3.2,5.6,-0.02,-77.0,-2.6,-5.5,-242.0,-8.3,-10.1,-152.0,-5.3,-0.9,-90.0,-3.1,-18.0,-0.6,7.3,40.0,1.4,-0.01,1.0,15.0,0.6,3.3,50.0,1.8,-2.0,-37.0,-1.2,-5.0,-0.2,-11.0,L
1.0,-3.0,4.0,-12.4,29.0,1.1,-4.6,-3.9,-9.0,-88.0,2.1,-77.0,-84.0,-2.9,54.0,113.0,2.4,4.4,2.9,-3.4,-5.6,-3.6,9.2,-0.04,-41.0,-3.8,-5.6,-134.0,-5.7,-7.2,-81.0,-3.2,-4.1,-53.0,-2.7,-22.0,-0.9,6.5,37.0,0.9,-0.08,-0.8,-12.0,-0.6,3.8,74.0,2.2,-3.3,-50.0,-1.8,64.0,1.6,7.0,L
5.0,0.0,5.0,-10.0,280.0,0.7,-5.9,-2.6,108.0,161.0,2.8,-71.0,-117.0,1.7,98.0,224.0,3.7,5.7,4.0,-14.6,-5.2,-7.4,12.6,-0.03,243.0,-3.3,-7.4,-41.0,-7.4,-10.9,-79.0,-4.8,-4.0,38.0,-2.7,-8.0,-0.8,0.9,64.0,0.2,-0.06,-0.7,13.0,-0.6,2.3,97.0,1.1,-4.4,-45.0,-2.3,89.0,-0.3,7.0,L
-3.0,-2.0,-1.0,-2.1,-113.0,0.7,5.5,0.2,-29.0,94.0,-4.8,27.0,38.0,0.0,-81.0,-149.0,-5.5,-8.1,-6.8,0.1,8.6,2.8,-11.5,0.01,-112.0,3.1,4.8,151.0,8.9,9.6,120.0,5.5,0.1,31.0,3.6,46.0,2.0,-1.6,-26.0,0.3,0.22,-0.9,-25.0,-0.4,-4.8,-107.0,-2.5,2.6,40.0,1.7,-144.0,-3.3,-7.0,W
1.0,-3.0,4.0,-12.4,29.0,1.1,-4.6,-3.9,-9.0,-88.0,2.1,-77.0,-84.0,-2.9,54.0,113.0,2.4,4.4,2.9,-3.4,-5.6,-3.6,9.2,-0.04,-41.0,-3.8,-5.6,-134.0,-5.7,-7.2,-81.0,-3.2,-4.1,-53.0,-2.7,-22.0,-0.9,6.5,37.0,0.9,-0.08,-0.8,-12.0,-0.6,3.8,74.0,2.2,-3.3,-50.0,-1.8,64.0,1.6,7.0,W
-2.0,-5.0,3.0,-15.0,68.0,4.9,3.6,-2.2,74.0,225.0,-1.8,-40.0,-63.0,0.8,-82.0,-169.0,-4.3,-5.4,-5.3,-9.3,15.8,-2.4,-13.4,-0.02,26.0,5.7,0.7,127.0,6.7,5.4,86.0,3.7,-3.9,41.0,3.1,34.0,1.4,-5.5,1.0,0.9,0.08,1.1,27.0,1.4,-2.6,-34.0,-0.2,3.9,71.0,2.7,-66.0,-1.0,-1.0,W
0.0,-10.0,10.0,-34.5,161.0,3.2,4.7,-0.8,69.0,331.0,-4.8,47.0,77.0,-1.2,-38.0,-35.0,-4.3,-7.4,-6.7,-3.0,7.4,0.9,-8.3,0.0,147.0,5.1,3.3,199.0,6.8,8.1,152.0,5.3,-1.4,47.0,1.7,37.0,1.3,-2.2,22.0,0.7,0.22,-1.0,-6.0,-0.3,-4.9,-62.0,-2.2,0.0,6.0,0.2,13.0,0.4,2.0,L
