TEAM,URL,CONFERENCE
Southeastern Louisiana,http://statsheet.com/mcb/teams/southeastern-louisiana,Southland
Southern Illinois,http://statsheet.com/mcb/teams/southern-illinois,Missouri Valley
Southern Methodist,http://statsheet.com/mcb/teams/southern-methodist,American Athletic
Southern Miss,http://statsheet.com/mcb/teams/southern-miss,Conference USA
Southern University,http://statsheet.com/mcb/teams/southern-university,SWAC
Southern Utah,http://statsheet.com/mcb/teams/southern-utah,Big Sky
St. Bonaventure,http://statsheet.com/mcb/teams/st-bonaventure,A-10
St. Francis (NY),http://statsheet.com/mcb/teams/st-francis-ny,NEC
St. Francis (PA),http://statsheet.com/mcb/teams/st-francis-pa,NEC
St. John's,http://statsheet.com/mcb/teams/st-johns,Big East
St. Joseph's (PA),http://statsheet.com/mcb/teams/st-josephs-pa,A-10
St. Peter's,http://statsheet.com/mcb/teams/st-peters,MAAC
Stanford,http://statsheet.com/mcb/teams/stanford,Pac-12
Stephen F. Austin,http://statsheet.com/mcb/teams/stephen-f-austin,Southland
Stetson,http://statsheet.com/mcb/teams/stetson,Atlantic Sun
Stony Brook,http://statsheet.com/mcb/teams/stony-brook,America East
Syracuse,http://statsheet.com/mcb/teams/syracuse,ACC
TCU,http://statsheet.com/mcb/teams/texas-christian,Big 12
Temple,http://statsheet.com/mcb/teams/temple,American Athletic
Tennessee,http://statsheet.com/mcb/teams/tennessee,SEC
Tennessee State,http://statsheet.com/mcb/teams/tennessee-state,Ohio Valley
Tennessee Tech,http://statsheet.com/mcb/teams/tennessee-tech,Ohio Valley
Tennessee-Martin,http://statsheet.com/mcb/teams/tennessee-martin,Ohio Valley
Texas,http://statsheet.com/mcb/teams/texas,Big 12
Texas A&M,http://statsheet.com/mcb/teams/texas-am,SEC
Texas A&M-Corpus Christi,http://statsheet.com/mcb/teams/texas-am-corpus-christi,Southland
Texas Southern,http://statsheet.com/mcb/teams/texas-southern,SWAC
Texas State,http://statsheet.com/mcb/teams/texas-state,Sun Belt
Texas Tech,http://statsheet.com/mcb/teams/texas-tech,Big 12
Texas-Arlington,http://statsheet.com/mcb/teams/texas-arlington,Sun Belt
Texas-El Paso,http://statsheet.com/mcb/teams/texas-el-paso,Conference USA
Texas-Pan American,http://statsheet.com/mcb/teams/texas-pan-american,WAC
Texas-San Antonio,http://statsheet.com/mcb/teams/texas-san-antonio,Conference USA
Toledo,http://statsheet.com/mcb/teams/toledo,MAC
Towson,http://statsheet.com/mcb/teams/towson,CAA
Troy,http://statsheet.com/mcb/teams/troy,Sun Belt
Tulane,http://statsheet.com/mcb/teams/tulane,Conference USA
Tulsa,http://statsheet.com/mcb/teams/tulsa,Conference USA
UAB,http://statsheet.com/mcb/teams/uab,Conference USA
UC Davis,http://statsheet.com/mcb/teams/california-davis,Big West
UC Irvine,http://statsheet.com/mcb/teams/california-irvine,Big West
UC Riverside,http://statsheet.com/mcb/teams/california-riverside,Big West
UC-Santa Barbara,http://statsheet.com/mcb/teams/california-santa-barbara,Big West
UCF,http://statsheet.com/mcb/teams/central-florida,American Athletic
UCLA,http://statsheet.com/mcb/teams/ucla,Pac-12
UIC,http://statsheet.com/mcb/teams/illinois-chicago,Horizon
UMass-Lowell,http://statsheet.com/mcb/teams/umass-lowell,America East
UNLV,http://statsheet.com/mcb/teams/unlv,Mountain West
USC,http://statsheet.com/mcb/teams/southern-california,Pac-12
USC Upstate,http://statsheet.com/mcb/teams/usc-upstate,Atlantic Sun
Utah,http://statsheet.com/mcb/teams/utah,Pac-12
Utah State,http://statsheet.com/mcb/teams/utah-state,Mountain West
Utah Valley University,http://statsheet.com/mcb/teams/utah-valley-state,WAC
Valparaiso,http://statsheet.com/mcb/teams/valparaiso,Horizon
Vanderbilt,http://statsheet.com/mcb/teams/vanderbilt,SEC
Vermont,http://statsheet.com/mcb/teams/vermont,America East
Villanova,http://statsheet.com/mcb/teams/villanova,Big East
Virginia,http://statsheet.com/mcb/teams/virginia,ACC
Virginia Commonwealth,http://statsheet.com/mcb/teams/virginia-commonwealth,A-10
Virginia Military Institute,http://statsheet.com/mcb/teams/virginia-military-institute,Big South
Virginia Tech,http://statsheet.com/mcb/teams/virginia-tech,ACC
Wagner,http://statsheet.com/mcb/teams/wagner,NEC
Wake Forest,http://statsheet.com/mcb/teams/wake-forest,ACC
Washington,http://statsheet.com/mcb/teams/washington,Pac-12
Washington State,http://statsheet.com/mcb/teams/washington-state,Pac-12
Weber State,http://statsheet.com/mcb/teams/weber-state,Big Sky
West Virginia,http://statsheet.com/mcb/teams/west-virginia,Big 12
Western Carolina,http://statsheet.com/mcb/teams/western-carolina,SoCon
Western Illinois,http://statsheet.com/mcb/teams/western-illinois,Summit League
Western Kentucky,http://statsheet.com/mcb/teams/western-kentucky,Sun Belt
Western Michigan,http://statsheet.com/mcb/teams/western-michigan,MAC
Wichita State,http://statsheet.com/mcb/teams/wichita-state,Missouri Valley
William & Mary,http://statsheet.com/mcb/teams/william-mary,CAA
Winthrop,http://statsheet.com/mcb/teams/winthrop,Big South
Wisconsin,http://statsheet.com/mcb/teams/wisconsin,Big Ten
Wofford,http://statsheet.com/mcb/teams/wofford,SoCon
Wright State,http://statsheet.com/mcb/teams/wright-state,Horizon
Wyoming,http://statsheet.com/mcb/teams/wyoming,Mountain West
Xavier,http://statsheet.com/mcb/teams/xavier,Big East
Yale,http://statsheet.com/mcb/teams/yale,Ivy League
Youngstown State,http://statsheet.com/mcb/teams/youngstown-state,Horizon
