Total Games,Winning Pct,Possessions,Possessions Per 40 minutes,Floor Pct,Efficiency,Field Goal Attempts,Field Goal Pct,Free Throw Attempts,Free Throw Pct,3-pt Field Goal Attempts,3-pt Field Goal Pct,Effective Field Goal Pct,True Shooting Pct,Free Throw Rate,Field Goal Point Pct,Free Throw Point Pct,3-pt Field Goal Point Pct,Points Per Possessions,Points,Points Per Game,Rebound Pct,Total Rebounds,Total Rebounds Per Game,Offensive Reb Pct,Offensive Rebounds,Offensive Rebounds Per Game,Defensive Reb Pct,Defensive Rebounds,Defensive Rebounds Per Game,Team Rebounds,Team Rebounds Per Game,Assist Pct,Assists,Assists Per Game,Assist to Turnover,Steal Pct,Steals,Steals Per Game,Turnover Pct,Turnovers,Turnovers Per Game,Block Pct,Blocks,Blocks Per Game,Fouls,Fouls Per Game,Disqualifications,Outcome
3.0,-3.8,262.0,1.7,1.6,4.9,369.0,-0.5,-9.0,5.8,111.0,1.9,-0.3,0.2,-6.4,0.0,-1.5,1.4,0.04,401.0,5.1,-2.7,1.0,-3.1,-1.1,67.0,0.8,-4.3,-66.0,-3.9,-9.0,-0.5,-5.3,36.0,-0.2,0.18,6.6,191.0,4.7,-3.7,-38.0,-2.2,-4.3,-80.0,-2.7,131.0,2.2,-5.0,W
4.0,8.1,255.0,-0.2,3.5,3.0,322.0,1.4,15.0,-6.1,75.0,-0.4,1.0,-0.2,-4.0,4.6,-3.3,-1.2,0.03,364.0,1.8,-0.8,155.0,0.4,2.9,85.0,1.2,-4.6,70.0,-0.7,34.0,0.6,-3.9,59.0,0.0,0.15,1.8,64.0,1.1,-1.5,3.0,-1.0,0.9,30.0,0.6,4.0,-1.4,-10.0,W
1.0,9.6,303.0,6.8,-3.7,-2.4,293.0,0.8,-58.0,3.9,-32.0,-0.4,-0.2,-0.3,-8.5,6.7,-2.8,-3.9,-0.03,267.0,5.7,-6.8,-32.0,-2.0,-12.9,-114.0,-3.6,-0.8,82.0,1.7,-11.0,-0.4,-3.5,56.0,1.2,0.35,-0.2,30.0,0.7,-5.8,-76.0,-2.5,-4.5,-60.0,-1.9,-79.0,-2.8,1.0,L
5.0,6.5,-52.0,-11.5,0.8,6.0,3.0,2.0,-152.0,-0.9,191.0,6.5,4.7,3.4,-7.6,-7.1,-4.8,11.9,0.05,83.0,-8.6,3.1,52.0,-3.8,-1.1,-40.0,-3.0,7.4,92.0,-0.9,6.0,-0.3,3.1,51.0,-0.7,0.21,-1.5,-42.0,-2.4,-1.0,-34.0,-2.8,-1.5,-31.0,-1.5,-101.0,-5.3,-1.0,W
2.0,5.1,118.0,-0.5,-0.9,-1.3,69.0,0.3,43.0,-7.4,125.0,0.4,1.3,0.0,1.0,-2.9,-1.7,4.6,-0.01,96.0,-1.3,1.3,85.0,0.4,-0.9,-1.0,-0.7,3.5,86.0,1.1,7.0,0.0,1.6,31.0,0.2,-0.01,0.7,29.0,0.5,0.6,34.0,0.3,3.2,66.0,1.8,-60.0,-2.8,-2.0,W
-5.0,7.8,-568.0,-6.8,-1.5,-1.8,-485.0,-0.9,-137.0,0.4,-186.0,1.1,-1.0,-0.7,2.0,-1.2,1.3,-0.1,-0.02,-626.0,-8.2,-0.2,-283.0,-3.2,-1.8,-115.0,-1.8,1.4,-168.0,-1.4,-13.0,0.1,10.7,-49.0,0.7,0.2,-0.9,-91.0,-1.4,-0.8,-137.0,-2.0,1.0,-16.0,0.0,-93.0,-0.1,6.0,L
0.0,22.3,108.0,3.0,6.4,15.5,30.0,6.1,190.0,4.4,9.0,6.7,7.2,7.6,9.1,-2.7,2.4,0.2,0.15,485.0,13.4,4.7,199.0,5.5,9.4,73.0,2.1,-0.2,126.0,3.5,-7.0,-0.2,2.3,91.0,2.5,0.05,-1.2,-16.0,-0.5,2.0,67.0,1.9,-2.7,-36.0,-1.0,-22.0,-0.6,-6.0,W
1.0,-2.0,111.0,1.3,4.7,5.6,1.0,6.8,106.0,-4.2,-269.0,6.3,5.2,4.2,5.3,9.7,-0.3,-9.3,0.05,252.0,5.2,1.4,124.0,2.5,3.9,15.0,0.1,-1.2,109.0,2.4,-5.0,-0.2,-6.5,14.0,0.0,-0.18,-2.2,-40.0,-1.4,2.1,67.0,1.6,0.2,21.0,0.5,-14.0,-0.9,8.0,L
2.0,7.8,219.0,2.5,-0.3,2.5,127.0,-0.8,162.0,-1.2,246.0,2.7,1.2,1.5,6.1,-11.4,2.2,9.2,0.02,280.0,4.2,2.6,178.0,3.0,1.3,57.0,1.0,3.9,121.0,1.9,31.0,0.8,8.2,94.0,1.9,0.03,1.8,61.0,1.4,1.2,70.0,1.3,2.0,49.0,1.1,44.0,0.3,-4.0,L
8.0,-3.1,544.0,0.6,6.4,-0.3,658.0,-2.6,192.0,-9.2,107.0,-3.7,-4.2,-5.3,-3.0,6.7,-2.1,-4.6,-0.01,578.0,0.5,4.6,535.0,7.2,12.8,311.0,6.2,-3.6,224.0,0.9,61.0,1.0,2.5,157.0,1.4,0.1,4.7,173.0,3.2,0.1,104.0,0.2,5.7,148.0,3.1,94.0,-1.1,5.0,W
2.0,-7.4,216.0,2.5,0.7,-0.6,124.0,-0.3,92.0,-4.6,250.0,-1.1,1.6,0.8,2.4,-7.6,-0.5,8.0,-0.01,218.0,2.3,2.6,90.0,0.5,7.0,111.0,2.5,-1.8,-21.0,-2.1,19.0,0.4,-2.1,10.0,-0.5,-0.44,3.3,88.0,2.2,5.2,154.0,3.8,-2.6,-45.0,-1.5,146.0,3.3,15.0,W
1.0,-2.2,40.0,-0.7,2.1,-6.8,31.0,-0.5,51.0,-6.5,-197.0,-7.3,-3.6,-3.9,2.1,11.7,0.6,-12.3,-0.07,-108.0,-5.1,2.1,95.0,1.7,9.3,111.0,2.9,-5.0,-16.0,-1.2,27.0,0.6,0.9,10.0,-0.1,-0.24,1.7,42.0,1.0,4.1,99.0,2.5,0.8,22.0,0.5,-11.0,-0.8,-2.0,W
3.0,0.3,166.0,-0.9,-0.4,2.8,296.0,-2.1,-86.0,4.0,356.0,-2.3,-0.4,-0.6,-9.9,-6.6,-3.5,10.2,0.03,235.0,0.9,-1.6,-12.0,-3.4,-0.5,48.0,0.4,-2.8,-60.0,-3.8,18.0,0.3,0.2,37.0,0.2,0.14,-0.1,15.0,-0.2,-2.5,-26.0,-1.8,1.9,37.0,0.7,123.0,2.1,0.0,W
1.0,17.7,87.0,0.7,1.8,3.2,129.0,0.7,-4.0,-0.5,111.0,-1.9,1.0,0.6,-2.6,0.0,-1.6,1.6,0.04,165.0,2.7,1.7,159.0,3.6,1.8,36.0,0.8,1.4,123.0,2.8,17.0,0.4,-16.3,-102.0,-3.3,-0.25,1.0,29.0,0.7,-0.8,-5.0,-0.4,5.4,113.0,3.1,-96.0,-3.1,-3.0,W
5.0,13.2,431.0,2.7,-2.0,-2.2,339.0,0.7,65.0,-0.6,159.0,-0.5,1.1,0.5,-3.6,0.0,-2.0,2.0,-0.03,425.0,1.6,-6.3,71.0,-3.2,-3.0,38.0,-0.8,-9.6,33.0,-2.4,-17.0,-0.7,5.2,139.0,1.9,0.04,8.8,268.0,6.2,1.1,105.0,1.3,4.0,94.0,2.1,127.0,1.1,1.0,W
2.0,-4.3,311.0,4.9,1.6,-2.4,298.0,0.1,11.0,0.1,-40.0,-0.7,-1.1,-1.4,-5.7,6.7,-2.0,-4.7,-0.03,262.0,3.4,4.9,245.0,4.8,7.9,137.0,3.2,1.9,108.0,1.7,-8.0,-0.4,-4.8,31.0,0.2,-0.26,0.4,47.0,0.9,3.8,155.0,3.6,1.1,37.0,0.8,48.0,0.4,-7.0,W
0.0,11.1,191.0,3.5,0.4,1.3,150.0,1.2,61.0,-5.4,69.0,3.4,1.9,0.8,0.2,-1.2,-1.7,2.9,0.01,233.0,6.5,-2.3,-11.0,-0.3,-0.7,18.0,0.5,-3.9,-29.0,-0.8,-13.0,-0.3,8.3,131.0,3.6,0.19,0.3,32.0,0.9,-0.2,34.0,0.9,4.1,91.0,2.5,72.0,2.0,18.0,L
0.0,-5.5,-115.0,-1.3,-0.3,1.3,-151.0,2.9,-152.0,2.0,66.0,1.5,4.3,3.6,-5.0,-2.3,-3.0,5.2,0.02,-98.0,-2.8,2.5,55.0,1.5,0.0,-37.0,-1.1,5.1,92.0,2.6,2.0,0.0,11.0,94.0,2.6,0.03,-2.1,-58.0,-1.6,3.3,60.0,1.7,-2.2,-43.0,-1.2,-57.0,-1.6,-14.0,L
-4.0,14.5,-245.0,0.5,3.7,10.4,-232.0,5.7,-14.0,0.6,-156.0,3.2,5.5,5.0,3.7,3.4,0.0,-3.5,0.1,-24.0,7.3,-1.5,-187.0,-1.0,-0.2,-103.0,-1.4,-2.8,-84.0,0.4,-27.0,-0.3,-0.4,0.0,1.5,0.27,0.7,-12.0,0.5,-2.3,-99.0,-1.4,-3.6,-77.0,-1.7,-149.0,-2.2,-5.0,L
2.0,4.4,289.0,4.4,3.2,0.7,299.0,-1.3,261.0,-5.9,40.0,-5.3,-2.8,-2.6,7.5,3.5,2.9,-6.4,0.0,329.0,5.1,3.8,338.0,7.7,5.1,143.0,3.4,2.4,195.0,4.2,45.0,1.0,-9.1,-31.0,-1.6,-0.13,0.0,34.0,0.6,-1.2,19.0,-0.1,2.5,66.0,1.6,86.0,1.5,5.0,l
5.0,10.4,407.0,2.4,4.1,3.8,508.0,-2.0,25.0,2.6,245.0,-2.7,-1.7,-1.8,-11.5,0.1,-3.5,3.4,0.04,521.0,5.1,6.8,394.0,7.1,9.0,174.0,3.9,4.6,217.0,3.0,19.0,0.2,-3.8,84.0,0.5,0.06,-1.2,16.0,-0.6,-1.1,59.0,-0.2,-0.9,8.0,-0.4,127.0,1.5,4.0,W
-2.0,-12.7,101.0,6.5,-0.2,2.8,54.0,0.5,-33.0,2.3,286.0,1.8,3.2,2.8,-2.4,-9.6,-1.6,11.2,0.03,180.0,9.2,1.1,35.0,3.0,2.4,32.0,1.6,-0.3,3.0,1.5,16.0,0.5,5.1,67.0,2.7,-0.06,-1.4,-25.0,-0.3,2.3,74.0,2.7,-3.6,-65.0,-1.6,3.0,1.0,7.0,L
